,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,Reference
146,AB2,Zr0.7Ti0.3Cr0.6Fe1.4,1.5,22.0,23.0,7.0,90.4652854267394,7.432380183843748,2.005846155187524,0.9447141648537586,
147,AB2,Zr0.7Ti0.3Cr1Fe1,1.7,30.0,23.0,0.8,99.44476591788516,0.8681310175268138,-0.1414126338611939,1.0640498258758684,
148,AB2,Zr0.7Ti0.3Mn2Fe0.8,0.8,14.0,25.0,2.6,54.90050416580529,2.600000000000001,0.9555114450274368,0.49007134351335335,
149,AB2,Zr0.7Ti0.3Mn1Fe1,1.7,10.0,23.0,2.0,39.52960816402248,2.0552362805549915,0.7203908197109502,1.0808745582979433,
150,AB2,Zr0.8Ti0.2Cr0.6Fe1.4,1.6,27.0,23.0,3.0,100.30405244234308,3.228992323383511,1.172170114375824,1.0320324127844454,
151,AB2,Zr0.8Ti0.2Mn1Fe1,1.4,30.0,30.0,1.6,102.86859534450215,1.3104812451316956,0.2703944324478571,0.9077813697318006,
152,AB2,Zr0.9Ti0.1Cr0.55Fe1.45,1.6,1.03,10.0,2.0,9.400583759388148,2.044512027736068,0.7151591437771643,1.0563804200542006,
153,AB2,Zr1V0.5Co1.5,1.5,34.3,50.0,1.5,109.51375958602588,0.5142680604510185,-0.665010631083228,1.032826436729514,
154,AB2,ZrCrCo,1.6,40.2,50.0,0.7,121.43498104011694,0.1996309246572472,-1.6112849939531335,1.0869859282918226,
155,AB2,ZrVCo,1.8,49.4,50.0,0.0023,102.36294728310553,0.0004922219161274,-7.616580894124432,1.2189572725729805,
156,AB2,Zr1Cr1.2Fe0.8,1.4,50.2,70.0,0.75,143.89987467327455,0.0526872109449353,-2.9433825294522347,0.9310688528284876,
157,AB2,Zr1Cr1.2Ni0.8,2.0,56.4,70.0,0.25,152.8337377610644,0.0126513709361717,-4.369989695279763,1.3536202893855955,
158,AB2,ZrCr2,1.8,42.0,27.0,0.003,91.63189650730249,0.002679724218239,-5.922041393396471,1.1833006012995833,
159,AB2,Zr1Cr2Co0.8,1.0,45.3,100.0,2.0,127.16183711572477,0.0507994716030839,-2.979869325965892,0.6391261086217226,
160,AB2,ZrMo2,1.0,22.0,-78.0,0.4,105.11560768201012,43.29076189491877,3.767939261089238,0.9456469456469456,
161,AB2,ZrCrMo,1.3,27.6,25.0,0.2,79.18973089257744,0.1999999999999999,-1.6094379124341007,1.0416771535249245,
162,AB5,CaNi4B,1.2,55.7,27.0,0.01,147.28576257843872,0.0086094488709562,-4.7548949729331405,0.5736749726881306,
163,AB5,CaNi5,1.7,37.7,25.0,0.5,120.68348371787891,0.5000000000000004,-0.6931471805599444,0.953757696986334,
164,AB5,La0.5Ce0.5Cu2.5Ni2.5,1.1,22.9,23.0,2.2,83.88103941306876,2.3416253775191214,0.8508452940200717,0.8185613148402267,
165,AB5,La0.4Ce0.6Ni5,1.5,22.3,25.0,28.0,102.49904461148958,28.0,3.332204510175204,1.0905114112480865,
166,AB5,La0.2Ce0.8Cu0.3Ni4.7,1.5,21.0,23.0,18.0,94.94102218259351,19.059838026658632,2.9475834001132752,1.0947865653452582,
167,AB5,La0.2Ce0.8Ni5,1.5,23.8,23.0,30.0,108.64277588230286,32.00964433437732,3.4660372428415465,1.091121016638466,
168,AB5,Ce0.2Pr0.8Co5,0.6,39.0,20.0,0.23,120.81857431975452,0.3007932386234149,-1.2013321651397544,0.43456702017661525,
169,AB5,Ce0.4Pr0.6Co5,0.6,38.5,20.0,1.0,131.33208255159477,1.303305200403338,0.2649034997279143,0.43440899863466514,
170,AB5,Ce0.6Pr0.4Co5,0.6,38.5,20.0,1.26,133.253582146448,1.6421645525082085,0.4960152206913026,0.434250977092715,
171,AB5,La0.7Ce0.7Ni5,1.4,25.0,20.0,11.0,105.21705564884518,13.06465552477356,2.5699105323619533,1.075785891808232,
