,Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,Reference
412,,Ti0.77Zr0.3Cr0.85Fe0.7Mn0.25Ni0.2Cu0.03,,19.26,,,93.66,33.80666249,3.520657898,,
413,,TiCr1.9Mo0.01,2.2,24.8,,,113.0,37.30599485,3.619154034,1.1320680523806512,10.1016/j.jallcom.2011.01.198
414,,TiCr1.9,2.5,26.19,,,122.0,62.974491,4.14272974,1.286433465959328,10.1016/j.jallcom.2011.01.198
415,,ZrFe1.8Cr0.2,1.8,22.3,,,109.0,63.01154205,4.143317917,1.225294709533508,10.1016/j.jallcom.2011.01.198
416,,(Ti0.97Zr0.03)1.1Cr1.6Mn0.4,1.55,23.4,,,115.0,83.318363,4.422668969,0.8023846757680557,10.1016/j.jallcom.2005.11.001
417,,TiCr1.5Mn0.25Fe0.25,,19.32,,,101.6,85.75949534,4.451546813,,10.1007/s12598-011-0373-7
418,,TiCr1.5Mn0.2Fe0.3,,18.32,,,101.0,119.2821164,4.781491413,,10.1007/s12598-011-0373-7
419,,TiCrMn,2.1,19.6,,,106.0,130.0843717,4.868183253,1.0980673660764952,10.1016/S0925-8388(99)00798-7
420,,ZrFe1.8Ni0.2,1.7,21.5,,,119.7,314.8175759,5.751993347,1.1637058028817948,10.1016/j.jallcom.2011.01.198
421,,Ti0.86Mo0.14Cr1.9,2.4,17.2,,,117.0,1282.185912,7.156321644,1.2903258667797246,10.1016/j.jallcom.2011.01.198
422,SS,NbTiVZrHf,2.2,61.8,315.0,0.17,88.0,5.88e-07,-14.35,2.0594822929853605,10.1038/srep36770
423,SS,VTiZrNb,1.5,67.6,311.0,0.05,90.3,7.48e-08,-16.41,1.0686294416243654,10.1021/acs.inorgchem.0c03270
424,SS,NbTiV0.5ZrHf,1.8,59.1,326.0,0.25,87.4,1.63e-06,-13.33,1.7617032376426474,10.1021/acs.inorgchem.0c03270
425,SS,VTiAlCr,1.1,42.7,311.0,5.3,88.4,0.00137,-6.59,0.490426317618807,10.1021/acs.chemmater.1c00647
426,SS,VTiAlTaNb,1.25,56.1,301.0,0.8,92.1,9.6e-06,-11.55,1.0037278948161543,10.1021/acs.chemmater.1c00647
427,SS,TiVCrNb,3.0,47.1,100.0,0.2,122.0,0.0132,-4.33,1.8694079835542465,10.1016/j.actamat.2020.116496 
428,SS,Al0.1Ti0.3V0.3Nb0.3,2.6,48.6,62.5,,154.0,0.339,-1.08,1.5945618464603502,10.1016/j.intermet.2022.107590
429,SS,TiVNb,3.1,67.0,220.0,,157.0,0.00029,-8.14,2.0282054810228183,10.1016/j.intermet.2022.107590
