Composition_Formula Ef
K2ReH9 -0.255405905666
K3ReH6 -0.0325511423105
Ba2H6Ru -0.529623435901
Ca2H6Ru -0.608057398123
Li4H6Ru -0.4167320821
Mg2H6Ru -0.327268133493
Yb2H6Ru -0.658567497012
ScH4Pd3 -0.317339812967
SrAlH5 -0.313804187989
SrAl2H2 -0.302293580874
SrGaH4 -0.151263579373
SrGa2H2 -0.412933558874
SrLiH3 -0.0293675813105
SrMgH4 -0.385837624651
Sr2FeH6 -0.500002151456
Sr2MgH6 -0.431356293586
Sr2H4Pd -0.548122836962
Sr2H6Ru -0.581894240345
Sr6Mg7H26 -0.367236498742
YCo3H2 -0.223120453784
Rb8Ga5H15 -0.188746897777
SmMg2H7 -0.312820002112
ErFe2H3 -0.197698939634
Ti2CuH2 -0.302897410388
Mn3SnH -0.0248902280829
EuMg2H5 -0.264093760532
TiFeH -0.339138985323
HfNiH3 -0.409815153311
MgNb2H4 -0.1550423297
Mg3MnH6 -0.0589597029398
ZrCr2H3 0.129728728908
ZrV2H4 -0.306268881962
LaNiH4 -0.400298276456
Mg2NiH 0.296850424871
HfV2H 0.013521233204
Zr2CuH2 -0.348872388874
CeH4Ru2 -0.196749929462
RbAlH4 -0.197857320623
Na2HgH 0.0753979227866
NaHgH2 0.315115982453
Tl2SnH6 0.367494570005
Rb2NbH6 0.192672658544
Cs2SnH6 -0.0334456933285
Rb2H6W 0.220925696322
K2TiH6 0.00700035701208
Rb2ZrH6 0.0158379452105
Ba2FeH6 -0.444880600345
Sr2H6Pt -0.446385505901
Sr2NbH6 -0.284608763678
Sr2CoH6 -0.483009707012
Sr2H6Os -0.576375341456
Sr2ReH6 -0.361874638678
Sr2NiH6 -0.405853473678
Sr2H6Pb 0.102068615211
Sr2TiH6 -0.351777806321
Sr2HfH6 -0.244039449789
Sr2H6Pd -0.386431411456
Sr2MoH6 -0.292114450345
Sr2TaH6 -0.253935840345
Sr2ZrH6 -0.241370678123
Sr2MnH6 -0.4095355941
Sr2SnH6 0.0514160244493
Sr2H6W -0.246251393678
Li2FeH6 0.0150002340994
Li2NbH6 0.352870000766
Li2CoH6 -0.043255520345
Li2H6Os 0.112466057433
Li2ReH6 0.197416191322
Li2H6Pb 0.434478632988
Li2H6Pd -0.185615900345
Li2MoH6 0.327688292988
Li2H6Ru 0.126911884099
Li2MnH6 -0.0134630607665
Li2H6W 0.341398769655
Tl2H6Pt 0.0154785985439
Rb2SnH6 0.00190393333819
Cs2H6W 0.200261565211
Rb2H6Pb 0.211407345211
K2MnH6 -0.0904272207665
K2MoH6 0.235641905211
Ca2H6Pt -0.443922148123
Ca2CoH6 -0.511938145901
Ca2ReH6 -0.377791577567
Ca2NiH6 -0.425872929234
Ca2H6Pb 0.199043528544
Ca2TiH6 -0.320738672988
Ca2HfH6 -0.198767029789
Ca2H6Pd -0.388501701456
Ca2MoH6 -0.282285629234
Ca2TaH6 -0.225399815901
Ca2ZrH6 -0.188789520345
Ca2MnH6 -0.436879960766
Ca2SnH6 0.118451374449
Ca2H6W -0.241280609234
K2HfH6 -0.0305404909006
Cs2ReH6 0.0737789113217
K2H6Os 0.0581789329883
Cs2ZrH6 -0.0112490336783
K2ReH6 0.0856904313217
Rb2FeH6 -0.00668334478945
Rb2CoH6 -0.0417157492339
Rb2H6Os 0.0637120263217
Rb2ReH6 0.0870678435439
Rb2NiH6 -0.172993170345
Rb2TiH6 0.00219221256763
Rb2HfH6 -0.0459112875672
Rb2H6Pd -0.212082092567
Rb2MoH6 0.233972518544
Rb2TaH6 0.141548467433
Rb2H6Ru 0.0997074107661
Rb2MnH6 -0.0843527818776
Cs2H6Pb 0.169807864099
K2TaH6 0.149447681877
Mg2H6Pt -0.0561910890487
Mg2NbH6 0.136786115396
