Composition_Formula Ef
CaH2 -0.658717047413333
CaH2 -0.6025220374133333
CaH2 -0.6028191257466666
CaH2 -0.6032219090800002
CaH3 -0.18284495521499977
ScH3 -0.5306292002149995
Sc2H5 -0.5892815854428568
ScH2 -0.7666489907466664
TiH2 -0.5854989924133326
TiH -0.211657151809999
Ti2H -0.24790489787333195
TiH -0.43759701680999896
TiH2 -0.4987071124133327
TiH2 -0.3671858757466661
Ti4H5 -0.47743237589999965
TiH -0.39467875930999874
Ti4H3 -0.33563633226571454
Ti2H3 -0.5155181391719992
Ti4H7 -0.5562832454854543
TiH2 -0.5836860057466661
VH2 -0.3057588590799997
V2H -0.19057878620666577
VH -0.22997116930999972
VH 0.036885610690000625
V2H -0.19022593787333264
CrH 0.12108752319000082
CrH2 -0.03037130907999952
CrH3 0.10737132103500002
CrH -0.0449807693099995
CrH 0.32095300319000053
MnH 0.1533704383624137
Mn29H2 -0.013176195394840585
FeH3 0.16652532853500013
FeH4 0.23522450610400014
FeH -0.05583207430999959
Fe3H 0.5745069753450007
FeH3 0.31084060603500063
Fe3H 0.5721100678450002
Co3H 0.15953981534500006
Co4H -0.023855045724000233
Co3H 0.5133194615950005
CoH 0.023741858190000187
CoH3 0.13873047478499956
NiH -0.11192773930999955
Ni2H -0.050069266206666775
Ni3H 0.4840491853449995
Ni3H 0.4820594003449994
Ni2H -0.053264629540000406
NiH3 0.17635602978500042
CuH 0.06166470819000036
CuH 0.11121674318999997
ZnH6 0.05120330761142914
ZnH6 0.3430474029685716
ZnH 0.33959695569000026
GaH 0.36966123069000023
GaH3 0.6209903685350002
Ge3H 0.5417443428450004
GeH4 0.351359459104
GeH4 0.20243317810399972
GeH4 0.13239595610399987
GeH4 0.20530214210400005
GeH4 -0.009846277396000146
AsH3 0.74847049666
H2Se 0.700591136805417
HBr -0.32805170680999973
HBr -0.30539962305999957
HBr -0.01765116430999969
HBr 0.8091596106900003
RbH -0.22367373805999957
SrH2 -0.5911581979688888
SrH2 -0.591427426302222
Sr3H 0.4430671728450004
SrH2 -0.6352881254688884
SrH3 -0.12939943813166632
YH3 -0.7106787835483335
YH2 -0.7990425135244443
YH3 -0.524996754798333
YH3 -0.7104692339650001
