,Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
56,AlCoCrCuFeNiTi,Al0.25CoCrCu0.75FeNiTi0.5,AC,SS,2FCC,7,2,M,[33],3d_Transition_Metal_Alloy_Family
57,AlCoCrCuFeNiTi,Al0.5CoCrCu0.5FeNiTi0.5,AC,SS,2BCC+FCC,7,3,M,[33],3d_Transition_Metal_Alloy_Family
58,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.2,AC,SS,FCC,7,1,"H, W ",[15],3d_Transition_Metal_Alloy_Family
59,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.4,AC,SS,2BCC+FCC,7,3,"H, W ",[15],3d_Transition_Metal_Alloy_Family
60,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.6,AC,SS,2BCC+FCC,7,3,"H, W ",[15],3d_Transition_Metal_Alloy_Family
61,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi0.8,AC,SS+IM,2BCC+FCC+s,7,4,"H, W ",[15],3d_Transition_Metal_Alloy_Family
62,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi,AC,SS+IM,2BCC+FCC+s,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
63,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi1.2,AC,SS+IM,2BCC+FCC+NiTi2+s,7,5,"H, W",[15],3d_Transition_Metal_Alloy_Family
64,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi1.4,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
65,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi1.6,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
66,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi1.8,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
67,AlCoCrCuFeNiTi,Al0.5CoCrCuFeNiTi2.0,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
68,AlCoCrCuFeNiTi,Al0.75CoCrCu0.25FeNiTi0.5,AC,SS,2BCC,7,2,M,[33],3d_Transition_Metal_Alloy_Family
69,AlCoCrCuFeNiTi,AlCoCrCu0.25FeNiTi0.5,AC,SS,2BCC,7,2,M,[34],3d_Transition_Metal_Alloy_Family
70,AlCoCrCuFeNiTi,AlCoCrCu0.5FeNiTi0.5,AC,SS,2BCC,7,2,M,[34],3d_Transition_Metal_Alloy_Family
71,AlCoCrCuFeNiTi,AlCoCrCuFeNiTi,AC,SS+IM,BCC+FCC+B2,7,3,M,[4],3d_Transition_Metal_Alloy_Family
72,AlCoCrCuFeNiTiMnV,Al0.125CoCrCuFeNiTiMnV,AC,SS,BCC+FCC,9,2,M,[5],3d_Transition_Metal_Alloy_Family
73,AlCoCrCuFeNiTiMnV,Al0.25CoCrCuFeNiTiMnV,AC,SS,BCC,9,1,M,[5],3d_Transition_Metal_Alloy_Family
74,AlCoCrCuFeNiTiMnV,Al0.67CoCrCuFeNiTiMnV,AC,SS,BCC+D022+Unk,9,3,M,[5],3d_Transition_Metal_Alloy_Family
75,AlCoCrCuFeNiTiV,AlCoCrCuFeNiTiV,AC,SS,BCC+FCC,8,2,H,[12],3d_Transition_Metal_Alloy_Family
76,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV0.2,AC,SS,2FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
77,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV0.4,AC,SS,BCC+FCC,7,2,"H, W",[16],3d_Transition_Metal_Alloy_Family
78,AlCoCrCuFeNiV,Al0.5CoCrCuFeNiV0.6,AC,SS+IM,BCC+FCC+s,7,3,"H, W",[16],3d_Transition_Metal_Alloy_Family
