,Composition_Formula,GBTPredict
857,MgTiZnMo,1.0
858,MgTiZnPd,2.0
859,MgTiZnHf,1.0
860,MgTiZnTa,1.0
861,MgTiZrNb,1.0
862,MgTiZrMo,1.0
863,MgTiZrPd,2.0
864,MgTiZrHf,1.0
865,MgTiZrTa,1.0
866,MgTiNbMo,2.0
867,MgTiNbPd,2.0
868,MgTiNbHf,1.0
869,MgTiNbTa,1.0
870,MgTiMoPd,2.0
871,MgTiMoHf,1.0
872,MgTiMoTa,1.0
873,MgTiPdHf,1.0
874,MgTiPdTa,1.0
875,MgTiHfTa,1.0
876,MgVCrMn,1.0
877,MgVCrFe,2.0
878,MgVCrCo,2.0
879,MgVCrNi,2.0
880,MgVCrCu,2.0
881,MgVCrZn,2.0
882,MgVCrZr,2.0
883,MgVCrNb,2.0
884,MgVCrMo,2.0
885,MgVCrPd,2.0
886,MgVCrHf,1.0
887,MgVCrTa,1.0
888,MgVMnFe,1.0
889,MgVMnCo,1.0
890,MgVMnNi,2.0
891,MgVMnCu,2.0
892,MgVMnZn,2.0
893,MgVMnZr,2.0
894,MgVMnNb,2.0
895,MgVMnMo,2.0
896,MgVMnPd,2.0
897,MgVMnHf,1.0
898,MgVMnTa,1.0
899,MgVFeCo,1.0
900,MgVFeNi,2.0
901,MgVFeCu,2.0
902,MgVFeZn,2.0
903,MgVFeZr,2.0
904,MgVFeNb,2.0
905,MgVFeMo,2.0
906,MgVFePd,2.0
907,MgVFeHf,1.0
908,MgVFeTa,1.0
909,MgVCoNi,2.0
910,MgVCoCu,2.0
911,MgVCoZn,2.0
912,MgVCoZr,0.0
913,MgVCoNb,2.0
914,MgVCoMo,2.0
915,MgVCoPd,2.0
916,MgVCoHf,1.0
917,MgVCoTa,1.0
918,MgVNiCu,2.0
919,MgVNiZn,2.0
920,MgVNiZr,2.0
921,MgVNiNb,2.0
922,MgVNiMo,2.0
923,MgVNiPd,2.0
924,MgVNiHf,1.0
925,MgVNiTa,1.0
926,MgVCuZn,2.0
927,MgVCuZr,2.0
928,MgVCuNb,2.0
929,MgVCuMo,2.0
930,MgVCuPd,2.0
931,MgVCuHf,1.0
932,MgVCuTa,1.0
933,MgVZnZr,1.0
934,MgVZnNb,1.0
935,MgVZnMo,2.0
936,MgVZnPd,2.0
937,MgVZnHf,1.0
938,MgVZnTa,1.0
939,MgVZrNb,1.0
940,MgVZrMo,1.0
941,MgVZrPd,2.0
942,MgVZrHf,1.0
943,MgVZrTa,1.0
944,MgVNbMo,2.0
