Alloy System,Composition_Formula,Processing Condition,SS or IM,Phases,# EL,# Phases,Property,References,Class
,Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni,AC,SS+IM,BCC+B2+Unk,6,3,H,[11],3d_Transition_Metal_Alloy_Family
,Al1.5CoCrCu0.5FeNi,AC,IM,B2,6,1,,[2],3d_Transition_Metal_Alloy_Family
,Al1.5CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
,Al1.8CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
,Al2CoCrCu0.5FeNi,AC,IM,B2,6,1,,[2],3d_Transition_Metal_Alloy_Family
,Al2CoCrCuFeNi,AC,SS+IM,BCC+FCC,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
,,AC,SS+IM,FCC+B2,6,2,"H, W",[14],3d_Transition_Metal_Alloy_Family
,Al2.3CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
,Al2.5CoCrCuFeNi,AC,SS+IM,FCC+B2,6,2,"H, M",[9],3d_Transition_Metal_Alloy_Family
,Al2.8CoCrCuFeNi,AC,IM,B2,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
,Al3CoCrCuFeNi,AC,IM,B2,6,1,"H, M",[9],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeNiSi,AlCoCrCu0.5FeNiSi,AC,SS,AM,7,1,MT,[32],3d_Transition_Metal_Alloy_Family
,AlCoCrCuFeNiSi,AC,SS,BCC+FCC,7,2,H,[25],3d_Transition_Metal_Alloy_Family
AlCoCrCuFeNiTi,Al0.25CoCrCu0.75FeNiTi0.5,AC,SS,2FCC,7,2,M,[33],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCu0.5FeNiTi0.5,AC,SS,2BCC+FCC,7,3,M,[33],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi0.2,AC,SS,FCC,7,1,"H, W ",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi0.4,AC,SS,2BCC+FCC,7,3,"H, W ",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi0.6,AC,SS,2BCC+FCC,7,3,"H, W ",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi0.8,AC,SS+IM,2BCC+FCC+s,7,4,"H, W ",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi,AC,SS+IM,2BCC+FCC+s,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi1.2,AC,SS+IM,2BCC+FCC+NiTi2+s,7,5,"H, W",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi1.4,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
,Al0.5CoCrCuFeNiTi1.6,AC,SS+IM,BCC+FCC+B2+NiTi2,7,4,"H, W",[15],3d_Transition_Metal_Alloy_Family
